County,incident_acres_burned,incident_longitude,incident_latitude,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),Year,Population,Density,Land Area (mi),None,D0,D1,D2,D3,D4,Temp Difference,Avg Temperature (F),Wind Speed to Wind Run Ratio,Precip to Solar Rad Ratio,Weather Intensity,Dew Point,Month,Day
kern,353.0,-118.9429,35.7193,2024-05-10,0.26,0.0,710.0,11.6,53.475,35.15,71.0,4.2,101.0,73.7,2024,910889.0,111.9716041794714,8135.0,100.0,0.0,0.0,0.0,0.0,0.0,35.15,53.475,0.0415841584158415,0.0,128.67499999999998,47.675,5,10
fresno,24.0,-120.340061,36.362559,2024-05-11,0.28,0.0,624.0,10.3,56.525,33.250000000000014,76.0,4.8,114.7,68.0,2024,1018965.0,171.02467270896273,5958.0,100.0,0.0,0.0,0.0,0.0,0.0,33.250000000000014,56.525,0.041848299912816,0.0,137.32500000000002,51.725,5,11
fresno,40.0,-120.192362,36.137571,2024-05-11,0.28,0.0,624.0,10.3,56.525,33.250000000000014,76.0,4.8,114.7,68.0,2024,1018965.0,171.02467270896273,5958.0,100.0,0.0,0.0,0.0,0.0,0.0,33.250000000000014,56.525,0.041848299912816,0.0,137.32500000000002,51.725,5,11
san diego,15.0,-116.711161,32.571374,2024-05-11,0.17,0.0,545.0,14.6,38.47500000000001,50.74999999999999,86.0,2.9,69.3,68.5,2024,3262770.0,775.0047505938243,4210.0,100.0,0.0,0.0,0.0,0.0,0.0,50.74999999999999,38.47500000000001,0.0418470418470418,0.0,127.375,35.67500000000001,5,11
san bernardino,148.0,-117.601135,35.388107,2024-05-11,0.25,0.0,717.0,7.2,50.6,29.60000000000001,59.0,4.1,97.5,61.7,2024,2196314.0,109.44359178792106,20068.0,93.11,6.89,0.0,0.0,0.0,0.0,29.60000000000001,50.6,0.042051282051282,0.0,113.7,42.400000000000006,5,11
san bernardino,80.0,-117.339379,34.602884,2024-05-12,0.28,0.0,712.0,7.9,52.575,34.15,64.0,5.1,122.3,62.9,2024,2196314.0,109.44359178792106,20068.0,93.11,6.89,0.0,0.0,0.0,0.0,34.15,52.575,0.0417007358953393,0.0,121.675,45.375,5,12
san diego,18.0,-116.8004,32.7754088,2024-05-13,0.17,0.0,561.0,14.4,39.650000000000006,46.1,86.0,2.4,57.7,70.0,2024,3262770.0,775.0047505938243,4210.0,100.0,0.0,0.0,0.0,0.0,0.0,46.1,39.650000000000006,0.0415944540727902,0.0,128.05,36.85000000000001,5,13
riverside,14.0,-116.8539685,33.471139,2024-05-14,0.2,0.0,913.0,13.7,42.925,47.24999999999999,91.0,5.2,125.8,68.6,2024,2510643.0,348.2650853100291,7209.0,92.36,7.64,0.0,0.0,0.0,0.0,47.24999999999999,42.925,0.0413354531001589,0.0,139.125,41.125,5,14
merced,12.0,-120.652034,37.244144,2024-05-14,0.23,0.0,800.5,14.1,48.525,45.250000000000014,83.5,4.65,112.2,74.0,2024,293630.0,151.51186790505676,1938.0,100.0,0.0,0.0,0.0,0.0,0.0,45.250000000000014,48.525,0.0414438502673796,0.0,136.675,45.225,5,14
kern,132.0,-118.7503007,35.4759526,2024-05-15,0.26,0.0,688.0,14.5,54.125,43.25,76.0,4.1,98.6,79.4,2024,910889.0,111.9716041794714,8135.0,100.0,0.0,0.0,0.0,0.0,0.0,43.25,54.125,0.0415821501014198,0.0,134.225,49.325,5,15
